NELE,lon,lat,Area_m2
476,-82.88450213,41.90939138,2794739.2
477,-82.88713993,41.91902868,2715150
478,-82.87733193,41.92452844,2902630.9
479,-82.86427313,41.92071377,2803202.3
480,-82.85431677,41.92682505,2920312.6
481,-82.85606753,41.93671934,2904459.6
482,-82.84481887,41.94335286,2975626.7
483,-82.84539663,41.95354802,2961479.8
484,-82.8341121,41.96055844,3027761.2
485,-82.83600993,41.97062063,2991991.4
486,-82.82602517,41.97768131,3063153.3
487,-82.82815047,41.98756857,2919711.7
488,-82.8172276,41.99514155,2993350.9
489,-83.31626733,41.92190591,3489060.9
490,-83.3152296,41.91034517,3158574.8
491,-83.30356317,41.90307306,2790022.7
492,-83.30279177,41.89231968,2660010.7
493,-83.29353353,41.88496529,2303317.8
494,-83.2843265,41.88756127,2472682.5
495,-83.27656787,41.87938969,2195414.8
496,-83.26700497,41.88117287,2384917.7
497,-83.2636414,41.89024811,2212706.7
498,-83.2523634,41.89072117,2350320.2
499,-83.2456451,41.88298595,2208212.5
500,-83.23427397,41.88341119,2250377.2
501,-83.22784943,41.87595893,2168369.3
502,-83.2164684,41.8766481,2142120.7
503,-83.20920147,41.87000045,2150455.2
504,-83.1971042,41.87153449,2123912.6
505,-83.18942117,41.86527559,2163149.6
506,-83.17739497,41.86704456,2355454.5
507,-83.17155447,41.85967212,2335730.6
508,-83.16173177,41.85979556,2061251.9
509,-83.1572812,41.85154411,1899245.7
510,-83.14623787,41.85304637,2183221.8
511,-83.140998,41.84569849,2420426.3
512,-83.1313298,41.84614645,2056370
513,-83.1258533,41.83826635,1962285.9
514,-83.11536133,41.8401647,1834311
515,-83.1057331,41.8350421,2340252.7
516,-83.10757433,41.82746915,2347051.8
517,-83.0995304,41.82207589,2064111.4
518,-83.08728367,41.82151905,2370626.9
519,-83.0810923,41.82755255,2414517.8
520,-83.06907387,41.82682802,2255267.5
521,-83.06668357,41.83613221,2209423.1
522,-83.05748093,41.8381372,2404571.6
523,-83.05680397,41.84789998,2404459.4
524,-83.0464759,41.84945961,2411325.3
525,-83.03738133,41.84164045,2347341.2
526,-83.0268767,41.84333672,2407513.1
527,-83.0176825,41.83597292,2339978.2
528,-83.00694537,41.83802889,2409925.3
529,-82.9976527,41.83116501,2352763.1
530,-82.98677863,41.83353534,2367660.4
531,-82.98274583,41.84215665,2408225.7
532,-82.9701,41.84400465,2156578.9
533,-82.96313713,41.83835985,2044185.4
534,-82.95001373,41.8410936,2182579.9
535,-82.94266563,41.83588035,2238323.8
536,-82.93021983,41.83519571,2112239.8
537,-82.92275477,41.83963773,2314302.9
538,-82.92696277,41.84847044,2635859.9
539,-82.91788923,41.85278874,2457606.5
540,-82.92102137,41.86210664,2454281.5
